# Sessao;Data de Uso;Hora Inicio;Jogo;Fase;Nivel;Linha Escolhida;Imagem Objetivo;Imagem Tocada;Tempo de Toque;Acao;Pontos Motor;Pontos Cognitivo
1;05/09/2018;16:17:58;Ordenacao;1;1;52;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;Nao tocou;7;Omitiu;0;0
1;05/09/2018;16:18:03;Ordenacao;1;1;52;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;2;Acertou;3;5
1;05/09/2018;16:18:06;Ordenacao;1;1;52;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;GeometricosPB-Retangulo-Medio-BordaFina-Preto;1;Acertou;4;5
1;05/09/2018;16:18:12;Ordenacao;1;1;52;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;3;Acertou;2;5
2;05/09/2018;16:18:50;Classificacao;1;1;2;GeometricosPB-Quadrado-Grande-BordaFina-Preto;Nao tocou;7;Omitiu;0;0
2;05/09/2018;16:18:57;Classificacao;1;1;2;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Acertou;4;5
2;05/09/2018;16:19:08;Classificacao;1;1;2;GeometricosPB-Quadrado-Grande-BordaFina-Preto;Nao tocou;7;Omitiu;0;0
